Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
RANBP2	fusion,oncogene,TSG	ALK	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
RAP1B	oncogene		COSMIC	1
RAP1GDS1	fusion,oncogene	NUP98	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RARA	fusion,oncogene	ZBTB16,NUMA1,NPM1,TRIM24,PML	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
RASA1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,civic	5
RB1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
RBM10	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
RBM15	fusion,oncogene,TSG	MKL1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
RECQL4	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
REL	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
RET	fusion,oncogene	CCDC6,KIF5B,HOOK3,TRIM27,PCM1,TRIM33,KTN1,H4,GOLGA5,NCOA4,PRKAR1A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
RFWD3	TSG		COSMIC	1
RGPD3			COSMIC	1
RGS7			COSMIC	1
RHOA	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
RHOH	fusion,TSG	BCL6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RICTOR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
RMI2	fusion,TSG	CIITA	COSMIC,COSMIC CGC (v99)	2
RNF213	fusion	ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RNF43	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
ROBO2	TSG		COSMIC	1
ROCK1	oncogene		COSMIC	1
ROS1	fusion,oncogene	MYO5A,PWWP2A,LRIG3,PPFIBP1,HLA-A,ZCCHHC8,SLC34A2,GOPC,TPM3,CLIP1,ERC1,KIAA1598,EZR,SDC4	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
RPL10	TSG		COSMIC,COSMIC CGC (v99)	2
RPL22	fusion,TSG	RUNX1	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RPL5	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
RPN1	fusion	MECOM	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RRAS2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
RSPO2	fusion,TSG	EIF3E	COSMIC,COSMIC CGC (v99),FOUNDATION ONE	3
RSPO3	fusion,oncogene	PTPRK	COSMIC,COSMIC CGC (v99)	2
RUNX1	fusion,oncogene,TSG	CBFA2T3,MECOM,ETV6,RUNX1T1,AFF3,RPL22	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	8
RUNX1T1	fusion,oncogene,TSG	RUNX1,KMT2A	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
RXRA	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
S100A7	fusion	VAV1	COSMIC	1
SALL4	oncogene		COSMIC,COSMIC CGC (v99)	2
SBDS	TSG		COSMIC,COSMIC CGC (v99)	2
SDC4	fusion	ROS1	COSMIC,COSMIC CGC (v99),FOUNDATION ONE	3
SDHA	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SDHAF2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
SDHB	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
SDHC	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SDHD	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
5-Sep	fusion	KMT2A	COSMIC	1
6-Sep	fusion	KMT2A	COSMIC	1
9-Sep	fusion	KMT2A	COSMIC	1
SET	fusion,oncogene	NUP214	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
SETBP1	fusion,oncogene	NUP98	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	7
SETD1B	TSG		OncoKB Annotated,COSMIC,MSK-HEME	3
SETD2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
SETDB1	oncogene,TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
SF3B1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SFPQ	fusion,TSG	TFE3	COSMIC,COSMIC CGC (v99)	2
SFRP4	TSG		COSMIC,COSMIC CGC (v99)	2
SGK1	oncogene		COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
SH2B3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
SH3GL1	fusion,oncogene	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
SHTN1	fusion	ROS1	COSMIC	1
SIRPA	TSG		COSMIC	1
SIX1	oncogene		COSMIC,COSMIC CGC (v99)	2
SIX2	oncogene		COSMIC	1
SKI	oncogene		COSMIC	1
SLC34A2	fusion,TSG	ROS1	COSMIC,COSMIC CGC (v99),FOUNDATION ONE	3
SLC45A3	fusion	ETV1,ERG,BRAF,ETV5,ELK4	COSMIC,COSMIC CGC (v99)	2
SMAD2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SMAD3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
SMAD4	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SMARCA4	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SMARCB1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SMARCD1	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
SMARCE1	oncogene,TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,COSMIC CGC (v99)	4
SMC1A	TSG		OncoKB Annotated,COSMIC,MSK-HEME,FOUNDATION ONE HEME	4
SMO	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
SND1	fusion,oncogene	BRAF	COSMIC,COSMIC CGC (v99)	2
SNX29	fusion	CIITA	FOUNDATION ONE HEME,COSMIC	2
SOCS1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
SOS1	fusion,oncogene	ALK	MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
SOX2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SOX21	TSG		COSMIC	1
SPECC1	fusion	PDGFRB	COSMIC	1
SPEN	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SPOP	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
SRC	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SRGAP3	fusion	RAF1	COSMIC	1
SRSF2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	8
SRSF3	fusion,oncogene	BCL6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
SS18	fusion,oncogene	SSX1,SSX4,SSX2	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
SS18L1	fusion	SSX1	COSMIC,COSMIC CGC (v99)	2
SSX1	fusion,oncogene	SS18	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
SSX2	fusion,oncogene	SS18	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
SSX4	fusion,oncogene	SS18	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
STAG1	TSG		OncoKB Annotated,COSMIC,MSK-HEME	3
STAG2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
STAT3	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
STAT5B	fusion,oncogene,TSG	RARA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
STAT6	fusion,oncogene	NAB2	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
STIL	fusion,oncogene	TAL1	COSMIC,COSMIC CGC (v99)	2
STK11	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
STRN	fusion	ALK	COSMIC,COSMIC CGC (v99)	2
SUB1			COSMIC	1
SUFU	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
SUZ12	fusion,oncogene,TSG	JAZF1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
SYK	fusion,oncogene	ETV6,ITK	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
TAF15	fusion,oncogene	CHN1,NR4A3,ZNF384	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TAL1	fusion,oncogene	STIL,TRD	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TAL2	fusion,oncogene	TRB	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TBL1XR1	fusion,oncogene,TSG		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
TBX3	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
TCEA1	fusion	PLAG1	COSMIC,COSMIC CGC (v99)	2
TCF12	fusion	NR4A3	COSMIC,COSMIC CGC (v99)	2
TCF3	fusion,oncogene,TSG	PBX1,TFPT,HLF	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
TCF7L2	fusion,oncogene,TSG	VTI1A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
TCL1A	fusion,oncogene	TRA	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TEC	fusion,oncogene		FOUNDATION ONE HEME,COSMIC	2
TENT5C	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
TERT	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
TET1	fusion,oncogene,TSG	KMT2A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
TET2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
TFE3	fusion,oncogene	SFPQ,PRCC,ASPSCR1,CLTC,NONO	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TFEB	fusion,oncogene	ALPHA	COSMIC,COSMIC CGC (v99)	2
TFG	fusion	NTRK1,NR4A3,ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TFPT	fusion	TCF3	FOUNDATION ONE HEME,COSMIC	2
TFRC	fusion	BCL6	FOUNDATION ONE HEME,COSMIC	2
TGFBR2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
THRAP3	fusion	USP6	COSMIC	1
TLX1	fusion,oncogene	TRD,TRB	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TLX3	fusion,oncogene	BCL11B	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TMEM127	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
TMPRSS2	fusion	ETV1,ETV5,ERG,ETV4	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
TMSB4X	oncogene		COSMIC	1
TNC	oncogene		COSMIC	1
TNFAIP3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
TNFRSF14	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
TNFRSF17	fusion,oncogene	IL2	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TNRC18	fusion	IKZF1,XPO1,HOXA9,RARA	COSMIC	1
TOP1	fusion,oncogene	NUP98	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
TP53	fusion,oncogene,TSG	NTRK1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
TP63	oncogene,TSG	TBL1XR1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
TPM3	fusion,oncogene,TSG	NTRK1,ROS1,ALK	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
TPM4	fusion	ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TPR	fusion	NTRK1,ALK	COSMIC,COSMIC CGC (v99)	2
TRA	fusion,oncogene	MTCP1,TCL6,ATL,MYC,OLIG2,TCL1A	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
TRAF7	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,Vogelstein	6
TRB	fusion,oncogene	LYL1,TAL2,LCK,HOX11,NOTCH1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
TRD	fusion,oncogene	RANBP17,LMO1,HOX11,LMO2,TLX1,TAL1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
TRIM24	fusion,oncogene,TSG	RARA	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TRIM27	fusion,oncogene	RET	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
TRIM33	fusion,TSG	RET	COSMIC,COSMIC CGC (v99)	2
TRIP11	fusion	PDGFRB	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
TRRAP	oncogene		COSMIC,COSMIC CGC (v99)	2
TSC1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
TSC2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
TSHR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein	6
U2AF1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
UBR5	oncogene		OncoKB Annotated,COSMIC,MSK-HEME,COSMIC CGC (v99)	4
USP44	TSG		COSMIC	1
USP6	fusion,oncogene	COL1A1,CNBP,THRAP3,OMD,CDH11	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
USP8	oncogene		MSK-IMPACT,OncoKB Annotated,COSMIC,COSMIC CGC (v99)	4
USP9X	fusion	ERAS	COSMIC	1
VAV1	fusion,oncogene	S100A7,THAP4,MYO1F	OncoKB Annotated,COSMIC,MSK-HEME	3
VHL	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
VTI1A	fusion	TCF7L2	COSMIC	1
WAS	oncogene		COSMIC,COSMIC CGC (v99)	2
WDCP	fusion	ALK	COSMIC,COSMIC CGC (v99)	2
WIF1	fusion,TSG	HMGA2	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
WNK2	TSG		COSMIC	1
WRN	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
WT1	fusion,oncogene,TSG	EWSR1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
WWTR1	fusion,oncogene	CAMTA1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
XPA	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
XPC	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
XPO1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
YAP1	fusion,oncogene	MAML2	MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
YWHAE	fusion,TSG	NUTM2B,NUTM2A	COSMIC,COSMIC CGC (v99),civic	3
ZBTB16	fusion,TSG	RARA	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ZCCHC8	fusion	ROS1	COSMIC	1
ZEB1	oncogene		COSMIC,civic	2
ZFHX3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
ZMYM2	fusion	FGFR1	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ZMYM3	TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME	3
ZNF331	fusion,TSG	?	COSMIC,COSMIC CGC (v99)	2
ZNF384	fusion	TAF15,EWSR1	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ZNF429			COSMIC	1
ZNF479			COSMIC	1
ZNF521	fusion,oncogene	PAX5	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ZNRF3	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC	3
ZRSR2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
H3-3A	oncogene		MSK-IMPACT,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE,civic,Vogelstein	7
H3C2			MSK-IMPACT,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	7
AURKA	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
AURKB	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
AXL	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
CDK8	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
CDKN2B	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
CHEK1	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
CRKL	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
DOT1L	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
EPHB1	oncogene,TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
FGF19	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
FGF3	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
FGF4	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
FLT1	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
IGF1R	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
IKBKE	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
INPP4B	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
IRS2	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
MCL1	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
MEF2B	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
MRE11	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
MSH3	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
NFKBIA	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
PDCD1	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
RPTOR	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
SOX9	oncogene,TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE,Vogelstein	5
ALOX12B	oncogene,TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
BCL2L1			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
DIS3	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
DNMT1	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,civic,Vogelstein	5
EPHA5			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
ERRFI1	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,civic,FOUNDATION ONE	5
GNA13	oncogene,TSG		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME,FOUNDATION ONE	4
H1-2			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
H3-3B			MSK-IMPACT,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	5
HDAC1	oncogene		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME,FOUNDATION ONE	4
INHBA	oncogene,TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
MAP3K14	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
MST1R	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
NOTCH3	oncogene,TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
NUP93			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
PARP1	TSG		MSK-IMPACT,MSK-HEME,OncoKB Annotated,civic,FOUNDATION ONE	5
PIK3C2G			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
PIK3CG	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
PLCG2	oncogene		MSK-IMPACT,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic	5
PRKCI	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
PRKN	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
RAD52			OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE	4
RAD54L			MSK-IMPACT,MSK-HEME,OncoKB Annotated,civic,FOUNDATION ONE	5
STAT5A	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE HEME	4
