Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
MEN1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MET	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MGMT	TSG		COSMIC,civic	2
MITF	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
MLF1	fusion,TSG	NPM1	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MLH1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MLLT1	fusion	KMT2A	MSK-IMPACT,COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
MLLT10	fusion,oncogene	CDK6,PICALM,KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
MLLT11	fusion	KMT2A	COSMIC,COSMIC CGC (v99)	2
MLLT3	fusion,oncogene	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
MLLT6	fusion	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MN1	fusion,oncogene	ETV6	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	5
MNX1	fusion	ETV6	FOUNDATION ONE HEME,COSMIC	2
MPL	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
MRTFA	fusion,oncogene,TSG	RBM15	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MSH2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MSH6	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MSI2	fusion,oncogene	HOXA9	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
MSN	fusion	ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MTCP1	fusion,oncogene	TRA	COSMIC,COSMIC CGC (v99)	2
MTOR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
MUC1	fusion	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MUC16	oncogene		COSMIC	1
MUC4	oncogene		COSMIC	1
MUC6			COSMIC	1
MUTYH	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
MYB	fusion,oncogene	NFIB	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
MYC	fusion,oncogene	BTG1,IGK,BCL5,IGH,TRA,BCL7A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
MYCL	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
MYCN	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
MYD88	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
MYH11	fusion,TSG	CBFB	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
MYH9	fusion,TSG	ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
MYO5A	fusion,oncogene	ROS1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
MYOD1	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
N4BP2	TSG		COSMIC	1
NAB2	fusion,oncogene,TSG	STAT6	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
NACA	fusion	BCL6	FOUNDATION ONE HEME,COSMIC	2
NBEA		PVT1	COSMIC	1
NBN	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
NCKIPSD	fusion	KMT2A	COSMIC	1
NCOA1	fusion	PAX3	COSMIC,COSMIC CGC (v99)	2
NCOA2	fusion,oncogene	HEY1,KAT6A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
NCOA4	fusion,oncogene,TSG	RET	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
NCOR1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,Vogelstein	6
NCOR2	TSG		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
NDRG1	fusion,TSG	ERG	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
NF1	fusion,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
